id,pmid,pmcid,journal_abbr,journal_full,year,title,source_used,n_passages,auto_code,norm_tests,stat_context,norm_sentence
33561276,33561276,PMC8152901,Phys Ther,Physical Therapy,2021,Does Falls Efficacy Influence the Relationship Between Forward and Backward Walking Speed After Stroke?,full_text_pdf,3,MIXED,Shapiro-Wilk; Kolmogorov-Smirnov,regression; correlation,
37805994,37805994,PMC10802992,Phys Ther,Physical Therapy,2024,"Effects of Perturbation-Based Treadmill Training on Balance Performance, Daily Life Gait, and Falls in Older Adults: REACT Randomized Controlled Trial.",full_text,5,INCORRECT,Shapiro-Wilk,t-test; ANOVA; Mann-Whitney/Wilcoxon,"First, we checked for normality of data using the Shapiro–Wilk test."
37581587,37581587,PMC11009693,Phys Ther,Physical Therapy,2023,Factors Associated With Long-Term Quadriceps Muscle Function After Surgical Fixation of Lower Extremity Fractures.,full_text_pdf,1,INCORRECT,Kolmogorov-Smirnov,Mann-Whitney/Wilcoxon,
37870503,37870503,PMC10824628,Phys Ther,Physical Therapy,2024,Neuromuscular Electrical Stimulation-Enhanced Physical Therapist Intervention for Functional Posterior Shoulder Instability (Type B1): A Multicenter Randomized Controlled Trial.,full_text,1,INCORRECT,Shapiro-Wilk,t-test,Data were exported from REDCap into Stata software for statistical analyses.Baseline characteristics were compared between the treatment groups by means of descriptive statistics and compared using standardized differences—calculated to 3 decimal places as the mean group difference divided by the co
37847662,37847662,PMC10641927,Phys Ther,Physical Therapy,2023,Validity and Responsiveness of the Portable Warrior Test of Tactical Agility After Rehabilitation in Service Members With Mild Traumatic Brain Injury.,full_text_pdf,1,INCORRECT,Kolmogorov-Smirnov,t-test,
32949237,32949237,PMC7530573,Phys Ther,Physical Therapy,2020,The Development of a Crosswalk for Functional Measures in Postacute Medicare Claims.,full_text_pdf,4,INCORRECT,Kolmogorov-Smirnov,t-test; correlation,
34555167,34555167,PMC8459885,Phys Ther,Physical Therapy,2021,"Associations Between Movement Impairments and Function, Treatment Recommendations, and Treatment Plans for People With Femoroacetabular Impingement Syndrome.",full_text_pdf,4,INCORRECT,Shapiro-Wilk,correlation,
35230421,35230421,PMC9156011,Phys Ther,Physical Therapy,2022,The Neck Disability Index Reflects Allodynia and Headache Disability but Not Cervical Musculoskeletal Dysfunction in Migraine.,full_text,2,MIXED,Shapiro-Wilk,regression,"Participants who had migraine and were grouped into the same cluster as individuals with idiopathic neck pain were considered to have cervical dysfunction, whereas those who were grouped into the same cluster as healthy controls were considered to have no cervical dysfunction.Data AnalysesData were "
37384640,37384640,PMC10309805,Phys Ther,Physical Therapy,2023,Localized Pain and Fatigue During Recovery From Submaximal Resistance Exercise in People With Fibromyalgia.,full_text_pdf,1,INCORRECT,Shapiro-Wilk,,
37140476,37140476,PMC10158643,Phys Ther,Physical Therapy,2023,Measurement Properties of the Patient-Specific Functional Scale in Rehabilitation for Patients With Stroke: A Prospective Observational Study.,full_text,2,INCORRECT,Shapiro-Wilk,,"Further, we did not expect the single-item instruments (ie, mRS, 4MWT, and FAC) to capture change to the same extent as the PSFS.44 Table 2 describes the hypotheses.Data AnalysisWe tested normality with Q-Q plots, Shapiro–Wilk tests, and visual inspection for all groups and subgroups and analyzed th"
37104625,37104625,PMC10071583,Phys Ther,Physical Therapy,2023,Children With Cerebral Palsy Show Higher Static-But Not Higher Dynamic-Motor Fatigability in Grip and Pinch Tasks Than Children With Typical Development Do.,full_text,2,INCORRECT,Shapiro-Wilk,t-test,"Furthermore, for DMF trials, individual peaks in the dynamic measurement were defined by a drop of force between putative peaks of at least 50% of the foregoing peak.Normality of the data was investigated both statistically (using the Shapiro–Wilk test, skewness, and kurtosis) and visually (using hi"
33710269,33710269,PMC8248042,Phys Ther,Physical Therapy,2021,Smartphone Inclinometry Is a Valid and Reliable Tool for Measuring Frontal Plane Tibial Alignment in Healthy and Osteoarthritic Knees.,full_text_pdf,4,MIXED,Shapiro-Wilk,correlation,
35670001,35670001,PMC9396452,Phys Ther,Physical Therapy,2022,Gains in Daily Stepping Activity in People With Chronic Stroke After High-Intensity Gait Training in Variable Contexts.,full_text_pdf,1,INCORRECT,Kolmogorov-Smirnov,Mann-Whitney/Wilcoxon,
37172125,37172125,PMC10071585,Phys Ther,Physical Therapy,2023,Efficacy of Telehealth for Movement-Evoked Pain in People With Chronic Achilles Tendinopathy: A Noninferiority Analysis.,full_text_pdf,2,INCORRECT,Kolmogorov-Smirnov,ANOVA; Mann-Whitney/Wilcoxon,
36200394,36200394,PMC9619742,Phys Ther,Physical Therapy,2022,Participation Among Community-Dwelling Older Adults During the COVID-19 Pandemic: A Cross-Sectional Analysis.,full_text_pdf,1,INCORRECT,Shapiro-Wilk,,
35233607,35233607,PMC8903454,Phys Ther,Physical Therapy,2022,Intensive Care Unit-Acquired Weakness in Patients With COVID-19: Occurrence and Associated Factors.,full_text_pdf,1,INCORRECT,Kolmogorov-Smirnov,,
32915985,32915985,PMC7720640,Phys Ther,Physical Therapy,2020,"The Effectiveness of Hospital in Motion, a Multidimensional Implementation Project to Improve Patients' Movement Behavior During Hospitalization.",full_text,1,INCORRECT,Kolmogorov-Smirnov,t-test; Mann-Whitney/Wilcoxon,Data on these outcomes were retrospectively retrieved from the electronic patient files by data managers and a trained independent research assistant of the patients who were included for the observations.Sample Size and Data AnalysesThe calculation of the required sample size was based on a statist
33735374,33735374,PMC7989156,Phys Ther,Physical Therapy,2021,Cardiopulmonary Exercise Testing to Assess Persistent Symptoms at 6 Months in People With COVID-19 Who Survived Hospitalization: A Pilot Study.,full_text_pdf,2,INCORRECT,Kolmogorov-Smirnov,correlation,
34174073,34174073,PMC8494014,Phys Ther,Physical Therapy,2021,Interexaminer Agreement and Reliability of an Internationally Endorsed Screening Framework for Cervical Vascular Risks Following Manual Therapy and Exercise: The Go4Safe Project.,full_text,2,INCORRECT,Shapiro-Wilk,,"Data were checked for normality using visual inspection of a histogram, a boxplot, and tested with the Shapiro-Wilk test."
28444350,28444350,PMC6257032,Phys Ther,Physical Therapy,2017,"Reliability, Validity, and Minimal Detectable Change of Four-Step Stair Climb Power Test in Community-Dwelling Older Adults.",full_text_pdf,1,INCORRECT,Shapiro-Wilk; Kolmogorov-Smirnov,correlation,
34554253,34554253,PMC8860189,Phys Ther,Physical Therapy,2022,Fear of Reinjury Following Anterior Cruciate Ligament Reconstruction Is Manifested in Muscle Activation Patterns of Single-Leg Side-Hop Landings.,full_text,1,INCORRECT,Shapiro-Wilk,,Biomechanical outcomes and anthropometric group characteristics were normally distributed (Shapiro-Wilk test and histogram inspection).
33735386,33735386,PMC8280925,Phys Ther,Physical Therapy,2021,Heel Rise and Non-Weight-Bearing Ankle Plantar Flexion Tasks to Assess Foot and Ankle Function in People With Diabetes Mellitus and Peripheral Neuropathy.,full_text_pdf,1,INCORRECT,Shapiro-Wilk,t-test,
32671398,32671398,PMC7530576,Phys Ther,Physical Therapy,2020,6-Minute Push Test in Youth Who Have Spina Bifida and Who Self-Propel a Wheelchair: Reliability and Physiologic Response.,full_text,2,MIXED,Shapiro-Wilk,,"First, data were checked for normality using histograms, Q-Q plots, and Shapiro-Wilk tests."
31197369,31197369,PMC6735838,Phys Ther,Physical Therapy,2019,Dose-Response Relationship Between Neuromuscular Electrical Stimulation and Muscle Function in People With Rheumatoid Arthritis.,full_text_pdf,1,INCORRECT,Shapiro-Wilk,,
31220327,31220327,PMC7207355,Phys Ther,Physical Therapy,2019,People With Aneurysmal Subarachnoid Hemorrhage Have Low Physical Fitness and Can Be Predisposed to Inactive and Sedentary Lifestyles.,full_text,1,INCORRECT,Shapiro-Wilk,,Parametric tests were used because the Shapiro-Wilk test showed that fitness data were normally distributed: \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{upgreek} \usepackage{mathrsfs} \setlength{\o
30476281,30476281,PMC12427587,Phys Ther,Physical Therapy,2019,Cardiopulmonary Responses During Clinical and Laboratory Gait Assessments in People With Chronic Stroke.,full_text_pdf,1,INCORRECT,Kolmogorov-Smirnov,,
