id,journal_abbr,year,auto_code,llm_code,llm_reason
33561276,Phys Ther,2021,MIXED,CORRECT,
37805994,Phys Ther,2024,INCORRECT,INCORRECT,"Normality test applied to pooled/raw data, not residuals or per-group."
37581587,Phys Ther,2023,INCORRECT,INCORRECT,
37870503,Phys Ther,2024,INCORRECT,INCORRECT,Normality test applied to pooled outcome without group conditioning.
37847662,Phys Ther,2023,INCORRECT,INCORRECT,
32949237,Phys Ther,2020,INCORRECT,INCORRECT,
34555167,Phys Ther,2021,INCORRECT,INCORRECT,
35230421,Phys Ther,2022,MIXED,CORRECT,Normality and constant variance of residuals were confirmed.
37384640,Phys Ther,2023,INCORRECT,INCORRECT,
37140476,Phys Ther,2023,INCORRECT,INCORRECT,"Tests applied to pooled/raw scores, not residuals or per-group."
37104625,Phys Ther,2023,INCORRECT,INCORRECT,"Normality assessed on unqualified 'data', not residuals or per-group."
33710269,Phys Ther,2021,MIXED,CORRECT,
35670001,Phys Ther,2022,INCORRECT,INCORRECT,
37172125,Phys Ther,2023,INCORRECT,INCORRECT,
36200394,Phys Ther,2022,INCORRECT,INCORRECT,
35233607,Phys Ther,2022,INCORRECT,INCORRECT,
32915985,Phys Ther,2020,INCORRECT,INCORRECT,Tests normality on pooled/raw data without specifying residuals or groups.
33735374,Phys Ther,2021,INCORRECT,INCORRECT,
34174073,Phys Ther,2021,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
28444350,Phys Ther,2017,INCORRECT,INCORRECT,
34554253,Phys Ther,2022,INCORRECT,INCORRECT,"Normality test applied to pooled/raw data, not residuals or per-group."
33735386,Phys Ther,2021,INCORRECT,INCORRECT,
32671398,Phys Ther,2020,MIXED,INCORRECT,Normality checked on data without specifying residuals or groups.
31197369,Phys Ther,2019,INCORRECT,INCORRECT,
31220327,Phys Ther,2019,INCORRECT,INCORRECT,"Normality test applied to pooled/raw data, not residuals or per-group."
30476281,Phys Ther,2019,INCORRECT,INCORRECT,
30690522,Phys Ther,2019,INCORRECT,INCORRECT,"Normality checked on unqualified 'data', not residuals or per-group."
29088390,Phys Ther,2018,INCORRECT,INCORRECT,
25573759,Phys Ther,2015,INCORRECT,INCORRECT,
27103222,Phys Ther,2016,INCORRECT,INCORRECT,
33678116,Physiother Theory Pract,2022,INCORRECT,INCORRECT,Unqualified statement about testing data for normality.
36567617,Physiother Theory Pract,2024,INCORRECT,INCORRECT,"Normality test applied to pooled/raw cost category data, not residuals or per-group."
29952694,Physiother Theory Pract,2020,CORRECT,CORRECT,Normality test applied to residuals explicitly.
26863987,Physiother Theory Pract,2016,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
29963931,Physiother Theory Pract,2020,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
29368984,Physiother Theory Pract,2018,ACCEPTABLE,ACCEPTABLE,Normality tested separately within each group.
36688719,J Orthop Sports Phys Ther,2023,CORRECT,CORRECT,Residuals were tested for normality using Shapiro-Wilk tests.
31905098,J Orthop Sports Phys Ther,2020,INCORRECT,INCORRECT,Unqualified statement about testing data normality.
28158957,J Orthop Sports Phys Ther,2017,INCORRECT,INCORRECT,Shapiro-Wilk test applied to data without specifying residuals or groups.
30658048,J Orthop Sports Phys Ther,2019,INCORRECT,INCORRECT,"Normality assessed on unqualified 'data', not residuals or per-group."
25739842,J Orthop Sports Phys Ther,2015,INCORRECT,INCORRECT,"Tests applied to all continuous data, not residuals or per-group."
28992772,J Orthop Sports Phys Ther,2017,INCORRECT,INCORRECT,Unqualified statement about testing data for normality.
25627155,J Orthop Sports Phys Ther,2015,INCORRECT,INCORRECT,"Tests applied to variables, not residuals or per-group data."
36103903,Arch Phys Med Rehabil,2023,INCORRECT,INCORRECT,"Tests applied to unqualified 'numerical variables', not residuals or per-group."
38754720,Arch Phys Med Rehabil,2024,INCORRECT,INCORRECT,
39187006,Arch Phys Med Rehabil,2024,INCORRECT,INCORRECT,"Normality tested on pooled/raw outcome measures, not residuals or per-group."
37037292,Arch Phys Med Rehabil,2023,INCORRECT,INCORRECT,"Normality test applied to variables, not residuals or per-group."
37348826,Arch Phys Med Rehabil,2024,INCORRECT,INCORRECT,"Normality test on pooled/raw data, not residuals or per-group."
34963574,Arch Phys Med Rehabil,2022,INCORRECT,UNCLEAR,No normality test target clearly specified.
33548208,Arch Phys Med Rehabil,2021,INCORRECT,UNCLEAR,Lacks specific target for normality test.
37149017,Arch Phys Med Rehabil,2023,INCORRECT,INCORRECT,"Shapiro-Wilk test on non-residual, pooled data."
37329969,Arch Phys Med Rehabil,2023,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
27590444,Arch Phys Med Rehabil,2017,CORRECT,CORRECT,Residuals were evaluated for normality using tests.
29698638,Arch Phys Med Rehabil,2018,MIXED,CORRECT,Normality tests applied to residuals of ANCOVA models.
