n_per_group,effect_size,ratio,power_A,power_B,power_C,power_D
10,0,2,0.0479,0.0515,0.0478,0.0509
20,0,2,0.0516,0.0562,0.053,0.0586
30,0,2,0.0499,0.0532,0.0511,0.0577
50,0,2,0.0496,0.0548,0.0531,0.0586
100,0,2,0.0545,0.0563,0.0547,0.0611
10,0.2,2,0.0571,0.0622,0.059,0.0558
20,0.2,2,0.065,0.072,0.0697,0.072
30,0.2,2,0.0735,0.079,0.0749,0.0838
50,0.2,2,0.0916,0.099,0.0963,0.1003
100,0.2,2,0.1435,0.153,0.1505,0.1525
10,0.5,2,0.095,0.1005,0.0966,0.0951
20,0.5,2,0.1574,0.1672,0.1655,0.1678
30,0.5,2,0.2102,0.2297,0.2268,0.2246
50,0.5,2,0.3288,0.3525,0.3505,0.3421
100,0.5,2,0.5715,0.6021,0.6051,0.5796
10,0.8,2,0.1764,0.1858,0.1831,0.1765
20,0.8,2,0.3114,0.3338,0.329,0.3257
30,0.8,2,0.4549,0.4815,0.4805,0.469
50,0.8,2,0.6722,0.7008,0.7035,0.6769
100,0.8,2,0.9251,0.9424,0.9453,0.9255
10,0,3,0.0528,0.0595,0.0542,0.0619
20,0,3,0.0524,0.0544,0.0482,0.0686
30,0,3,0.0611,0.0559,0.0505,0.0682
50,0,3,0.0602,0.0535,0.0466,0.0652
100,0,3,0.0634,0.0523,0.047,0.0637
10,0.2,3,0.0559,0.0611,0.0544,0.0663
20,0.2,3,0.0614,0.0654,0.0595,0.0757
30,0.2,3,0.0684,0.0675,0.0614,0.0783
50,0.2,3,0.0841,0.0784,0.0733,0.0895
100,0.2,3,0.1144,0.1013,0.097,0.1147
10,0.5,3,0.0751,0.0804,0.0762,0.083
20,0.5,3,0.1027,0.1093,0.1035,0.1221
30,0.5,3,0.1413,0.1449,0.1401,0.1546
50,0.5,3,0.1953,0.1989,0.1943,0.2036
100,0.5,3,0.351,0.351,0.3481,0.351
10,0.8,3,0.106,0.1173,0.1129,0.12
20,0.8,3,0.1858,0.197,0.1929,0.2033
30,0.8,3,0.2679,0.2801,0.2753,0.2826
50,0.8,3,0.4095,0.4253,0.4243,0.4193
100,0.8,3,0.6736,0.7004,0.7033,0.6739
