Distribution,n/group,A: Incorrect,B: Per-group,C: Welch,D: Mann-Whitney
Normal,10,18.6,18.8,18.5,16.8
Normal,20,33.2,33.4,33.3,32
Normal,30,48.8,48.9,48.9,46.2
Normal,50,69.3,69.4,69.5,67.1
Skewed,10,21.7,23.1,19.6,22.3
Skewed,20,42.1,43.2,34.3,43.1
Skewed,30,61.4,61.6,49.4,61.7
Skewed,50,83.3,83.3,70,83.3
Pain score,10,14,14.3,10.6,14.1
Pain score,20,26,26,17.8,25.9
Pain score,30,36.7,36.7,24,36.7
Pain score,50,54.9,54.9,37,54.9
Bimodal,10,17.7,17.9,17.1,17.7
Bimodal,20,35.9,36.2,32.9,36.5
Bimodal,30,52.5,52.3,47.7,52.4
Bimodal,50,73.8,73.6,69.5,73.6
